,index,인원,수료,미수료,수료율,대분류,중분류,소분류
232,공무원이 알아야 할 행정법 사례1,80,41,32,0.5616438356164384,행정안전부,직무공통,정책
126,공무원 노사관계 이해하기,313,159,127,0.5559440559440559,행정안전부,직무공통,정책
445,"(MOOC) 소통의 신세계, 사물인터넷",10,5,4,0.5555555555555556,행정안전부,직무공통,정책
321,주민등록 및 관련법령,39,20,16,0.5555555555555556,행정안전부,직무공통,소양
398,도로명주소의 이해,18,10,8,0.5555555555555556,행정안전부,직무공통,정책
317,종합소득세 신고 요령,40,21,17,0.5526315789473685,행정안전부,직무공통,정책
306,[e호조] 보조금관리,45,22,18,0.55,행정안전부,청렴,청렴
166,서무업무 길라잡이,186,92,78,0.5411764705882353,행정안전부,사회복지,인권
105,공무원이 알아야 할 기본법령,438,200,174,0.5347593582887701,행정안전부,직무공통,소양
378,(MOOC) 스토리텔링 프레젠테이션 프레지,23,10,9,0.5263157894736842,행정안전부,직무공통,재난
190,초급영어회화1,146,61,55,0.5258620689655172,행정안전부,사회복지,인권
388,(집합연계) 여성리더과정,21,11,10,0.5238095238095238,행정안전부,직무공통,소양
230,사례로 보는 행정의 실효성 확보수단,81,37,34,0.5211267605633803,행정안전부,직무공통,소양
357,협동조합 업무지침(협동조합),29,13,12,0.52,행정안전부,직무공통,소양
183,지방세실무,156,68,63,0.5190839694656488,행정안전부,직무공통,소양
340,지방감사 실무,35,16,15,0.5161290322580645,행정안전부,사회복지,인권
318,법인지방소득세,40,17,16,0.5151515151515151,행정안전부,직무공통,소양
293,공무원이 알아야 할 행정법 사례2,51,23,22,0.5111111111111111,행정안전부,직무공통,소양
250,[e호조] 예산길라잡이,72,33,32,0.5076923076923077,행정안전부,사회복지,인권
517,(행안부 대상) 사례로 배우는 부패영향평가,2,1,1,0.5,행정안전부,직무공통,정책
511,(마이크로러닝)[중국어자동흡수 중톡픽] 넌 모르는 상황 표현 180,2,1,1,0.5,행정안전부,직무공통,정책
515,(집합연계) 갈등관리 디자인,2,1,1,0.5,행정안전부,직무공통,정책
481,교육운영실무,5,2,2,0.5,행정안전부,직무공통,소양
519,(행안부 대상) 역사에서 배우는 공직자의 길,2,1,1,0.5,행정안전부,직무공통,정책
522,(집합연계) 지방공기업 리더십 역량강화,2,1,1,0.5,행정안전부,외국어,외국어
416,도시행정론,16,7,7,0.5,행정안전부,직무공통,소양
344,액세스 2010,34,13,13,0.5,행정안전부,직무공통,정책
316,중국어발음 기초탄탄,40,17,17,0.5,행정안전부,정보화,정보화
523,(행안부 대상) 청렴판단력 키우기,2,1,1,0.5,행정안전부,직무공통,소양
